epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,32081.8,0.87287,0.81779,1.36846,0.84683,0.70034,0.82202,0.58468,1.04042,0.80984,1.49986,0.0002675,0.0002675,0.0002675
107,32358.8,0.86971,0.81571,1.3693,0.80365,0.73305,0.82363,0.58417,1.03808,0.7999,1.5097,0.000251,0.000251,0.000251
108,32697.4,0.87005,0.8078,1.36866,0.79156,0.74856,0.8268,0.58651,1.03239,0.79958,1.50418,0.0002345,0.0002345,0.0002345
109,32953.2,0.85143,0.79845,1.35785,0.81942,0.73456,0.82972,0.59063,1.02904,0.79631,1.49077,0.000218,0.000218,0.000218
110,33212.3,0.84969,0.79753,1.35724,0.83465,0.72442,0.83065,0.5885,1.02715,0.79512,1.4992,0.0002015,0.0002015,0.0002015
111,33483.1,0.82542,0.68226,1.42859,0.84695,0.71527,0.83136,0.58936,1.02012,0.79236,1.49486,0.000185,0.000185,0.000185
112,33739.1,0.7999,0.65304,1.40774,0.8219,0.73116,0.83085,0.59004,1.02225,0.79276,1.49608,0.0001685,0.0001685,0.0001685
113,33995.5,0.78073,0.62877,1.39001,0.78652,0.76464,0.83052,0.59134,1.02124,0.78979,1.49332,0.000152,0.000152,0.000152
114,34258.7,0.78572,0.63619,1.3971,0.84195,0.73938,0.83422,0.59158,1.01906,0.78935,1.49122,0.0001355,0.0001355,0.0001355
115,34517.9,0.77394,0.6131,1.38132,0.83419,0.73249,0.83276,0.59457,1.01809,0.78024,1.48827,0.000119,0.000119,0.000119
116,34798.1,0.777,0.6173,1.38688,0.83243,0.74168,0.83628,0.59546,1.01896,0.77674,1.48924,0.0001025,0.0001025,0.0001025
117,35076.7,0.75887,0.61334,1.36748,0.81794,0.75316,0.83905,0.5984,1.01542,0.77075,1.48867,8.6e-05,8.6e-05,8.6e-05
118,35358.1,0.76432,0.60437,1.37371,0.83273,0.74742,0.83868,0.60198,1.00995,0.76505,1.48194,6.95e-05,6.95e-05,6.95e-05
119,35617.3,0.76057,0.59648,1.3786,0.83371,0.74832,0.84147,0.60253,1.0077,0.75756,1.47979,5.3e-05,5.3e-05,5.3e-05
120,35876.7,0.75592,0.59556,1.36526,0.835,0.75086,0.84364,0.6033,1.00379,0.75422,1.47602,3.65e-05,3.65e-05,3.65e-05
